numberOfData, addingTime, findingTime, deletingTime
990, 700, 1000, 1100
991, 600, 1500, 1100
992, 400, 1100, 4300
993, 800, 1900, 1200
994, 4300, 15800, 5100
995, 1700, 7700, 3600
996, 2700, 3400, 2700
997, 1400, 4500, 2600
998, 2600, 29700, 9200
999, 1300, 5500, 2900
1000, 1700, 7400, 1900
1001, 1800, 2900, 1200
1002, 16400, 9500, 3600
1003, 1400, 4900, 2700
1004, 4000, 8600, 2900
1005, 1900, 3300, 10000
1006, 2900, 4500, 4400
1007, 3600, 5200, 2400
1008, 1700, 2900, 5900
1009, 1600, 4000, 2500
1010, 12800, 5300, 1500
1011, 600, 1400, 2400
1012, 1200, 1000, 1000
1013, 1200, 900, 900
1014, 1600, 1000, 3300
1015, 600, 1000, 1100
1016, 1100, 900, 4300
1017, 600, 1000, 1500
1018, 700, 1000, 2400
1019, 1000, 1000, 1000
